year,conv_mean,conv_median,conv_p90,inter_cluster_conv,pct_growing,n_pairs
1982,-0.18703261592911335,-0.17398781456580928,0.0191420040175387,-0.16288151998855468,0.122,500
1983,0.017303537145277072,-0.022460552201843426,0.2697682915208561,0.02870836013501319,0.466,500
1984,-0.020198263933677543,-0.0394772808158754,0.22156025286763154,-0.04058065743038638,0.42,500
1985,-0.01582702301032728,-0.038506500043934216,0.18359216424733765,-0.028538180853013802,0.384,500
1986,-0.02030614515649993,-0.042162816424837206,0.16168529694864817,-0.03890585090795623,0.366,500
1987,-0.038493904003705615,-0.05784933694987621,0.1284661687945923,-0.05578733491528758,0.33,500
1988,-0.03213840101689118,-0.06109648806372185,0.11328449949202786,-0.04040488825874564,0.306,500
1989,-0.040901521078136965,-0.0583314342439505,0.10533551031940103,-0.05266150303090104,0.318,500
1990,-0.028388177330226496,-0.04880968256602209,0.14091149283590182,-0.03804751905666927,0.332,500
1991,-0.016085217854508803,-0.04735418533609474,0.15183007692693254,-0.02583837625694226,0.362,500
1992,-0.030135140501893816,-0.0447169878979812,0.13345760007995242,-0.04823031201912646,0.348,500
1993,-0.011362011146705004,-0.030742260388963966,0.16047843943209913,-0.02279909101805013,0.4,500
1994,-0.016594811316630566,-0.03259784491270909,0.13172863128970244,-0.02649443441773336,0.366,500
1995,-0.01641002047564646,-0.03475092301703919,0.130716834055061,-0.03293092186797327,0.388,500
1996,-0.029139191389351924,-0.0404054300347997,0.10480917578172261,-0.04482199886435588,0.366,500
1997,-0.020168581801447115,-0.03616710152781555,0.11178338521730839,-0.03069930613502739,0.374,500
1998,-0.028882595697873954,-0.046168561314222714,0.09885715308403627,-0.03950221566872356,0.352,500
1999,-0.03658819872416071,-0.04365017429767014,0.11099295690132228,-0.06328669163097855,0.334,500
2000,-0.047854404679579396,-0.050648786988084366,0.10177328527534771,-0.06948736682031167,0.328,500
2001,-0.04207845966340827,-0.05044220627353574,0.11895692589682663,-0.06516768047555957,0.346,500
2002,-0.03008069380242455,-0.052634290738837866,0.1513780671527085,-0.07551829806174626,0.35,500
2003,-0.014986481402766592,-0.037642791843201885,0.1845596528075134,-0.05746633660654847,0.38,500
2004,-0.015795616680979303,-0.028639193831812324,0.16761782971370778,-0.034820127195249385,0.414,500
2005,-0.028687034114816407,-0.030201564502086255,0.1225194042744503,-0.039294986840570804,0.386,500
2006,-0.03214540582684483,-0.03656466197705206,0.10769713841399618,-0.04192751160544524,0.37,500
2007,-0.028240330909899396,-0.028330221740526372,0.11227372528242088,-0.033101156681259174,0.392,500
2008,-0.020465539929849064,-0.027476736970904317,0.11390104538377178,-0.04056183954117785,0.4,500
2009,-0.017687562655120847,-0.024373727421695107,0.12999052815848058,-0.03685595083370804,0.408,500
2010,-0.016393398913196213,-0.022682207765504555,0.12215565243390404,-0.0342563414580113,0.416,500
2011,-0.016128041717009694,-0.018961276374418287,0.10387530882830097,-0.022519965573400406,0.412,500
2012,-0.014575084367810087,-0.024618715139237232,0.12095595960212224,-0.025866359400192277,0.402,500
2013,-0.005326470280885456,-0.021510178400044436,0.12794107093257964,-0.021002866908466936,0.414,500
2014,-0.012179199742098405,-0.030351848285421576,0.14317231131838368,-0.031955387854932585,0.4,500
2015,-0.014672878532818491,-0.028738280745587874,0.1497015793252584,-0.041010404084189225,0.408,500
2016,-0.02657042187991315,-0.02843380314957002,0.13575952184908577,-0.06996572693700008,0.402,500
2017,-0.026573622216924497,-0.029164679480856624,0.18641231898729224,-0.08236754753645323,0.418,500
2018,-0.018726027287699194,-0.017224239035856778,0.19691598110215375,-0.07478810085418212,0.45,500
2019,0.006136092877692691,-0.014544957644477505,0.20111213988862695,-0.04241300909215534,0.44,500
2020,0.012978801235588141,-0.009438852825204316,0.2085628423185402,-0.028618057061243464,0.476,500
2021,0.01840438936401137,-0.0010548977332317858,0.2214292540023557,-0.03168655046436132,0.498,500
2022,0.016925706747569172,-0.003700384910637302,0.19894820594943566,-0.03708581306032515,0.486,500
2023,0.03734907286845873,0.0007412484532478354,0.25870773061977254,0.026551904220965428,0.502,500
